,1/18/15 18:14:21,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468374369,,,,,,,TRG-.40,STP,STD,
,,OCO #468374370,,,,,,,,,,
,1/18/15 18:14:21,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,CANCELED
,,TRG BY #468374369,,,,,,,,,,
,,OCO #468374370,,,,,,,,,,
,1/18/15 18:14:21,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,116.846,LMT,GTC,CANCELED
,1/18/15 18:13:55,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,,RE #468374367,,,,,,,,,,
,1/18/15 18:13:54,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,TRIGGERED
,1/18/15 18:06:36,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468373849,,,,,,,TRG-.40,STP,STD,
,,OCO #468373850,,,,,,,117.081,STP,,
,1/18/15 18:06:36,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,CANCELED
,,TRG BY #468373849,,,,,,,117.881,LMT,,
,,OCO #468373850,,,,,,,,,,
,1/18/15 18:06:36,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,,MKT,GTC,FILLED

Account Trade History
Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
1/21/15 22:30:54,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,118.343,118.343,MKT
1/21/15 22:29:19,FOREX,BUY,+10000,TO OPEN,AUD/USD,,,FOREX,.80672,.80672,MKT
1/21/15 11:23:14,FOREX,BUY,+10000,TO CLOSE,USD/CAD,,,FOREX,1.23396,1.23396,LMT
1/21/15 11:18:22,FOREX,SELL,-10000,TO CLOSE,AUD/USD,,,FOREX,.81159,.81159,LMT
1/21/15 10:25:13,FOREX,SELL,-10000,TO OPEN,USD/CAD,,,FOREX,1.23055,1.23055,MKT
1/21/15 10:14:00,FOREX,BUY,+10000,TO OPEN,AUD/USD,,,FOREX,.81806,.81806,MKT
1/21/15 03:47:34,FOREX,SELL,-10000,TO CLOSE,AUD/USD,,,FOREX,.81798,.81798,STP
1/21/15 01:54:21,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,117.424,117.424,STP
1/20/15 23:26:07,FOREX,BUY,+10000,TO OPEN,AUD/USD,,,FOREX,.82198,.82198,MKT
1/20/15 23:19:17,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,117.824,117.824,MKT
1/20/15 22:58:30,FOREX,BUY,+10000,TO CLOSE,AUD/USD,,,FOREX,.821,.821,LMT
1/20/15 22:29:17,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,118.063,118.063,STP
1/20/15 20:53:34,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,118.463,118.463,MKT
1/20/15 19:47:58,FOREX,SELL,-10000,TO CLOSE,NZD/USD,,,FOREX,.76436,.76436,LMT
1/20/15 18:52:24,FOREX,SELL,-10000,TO OPEN,AUD/USD,,,FOREX,.81593,.81593,MKT
1/20/15 16:47:07,FOREX,BUY,+10000,TO OPEN,NZD/USD,,,FOREX,.76425,.76425,MKT
1/20/15 15:54:29,FOREX,BUY,+10000,TO CLOSE,GBP/JPY,,,FOREX,179.858,179.858,MKT
1/20/15 14:44:53,FOREX,SELL,-10000,TO OPEN,GBP/JPY,,,FOREX,180.087,180.087,MKT
1/19/15 21:24:07,FOREX,BUY,+10000,TO CLOSE,USD/JPY,,,FOREX,118.183,118.183,LMT
1/19/15 21:19:37,FOREX,SELL,-10000,TO CLOSE,AUD/USD,,,FOREX,.81851,.81851,MKT
1/19/15 21:02:45,FOREX,SELL,-10000,TO OPEN,USD/JPY,,,FOREX,118.209,118.209,MKT
1/19/15 20:40:16,FOREX,BUY,+10000,TO OPEN,AUD/USD,,,FOREX,.81812,.81812,MKT
1/19/15 20:38:31,FOREX,BUY,+10000,TO CLOSE,AUD/USD,,,FOREX,.81785,.81785,MKT
1/19/15 20:19:27,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,118.113,118.113,MKT
